title,author,format,price,image,rating,comments
On rit toujours chez nous,Domitille Béthune,Broché,"6,99 €","https://images-eu.ssl-images-amazon.com/images/I/61yKheOwHkL._AC_UL200_SR200,200_.jpg",NA,NA
Le livre de maître Mô,Jean-yves Moyart,Broché,"20,00 €","https://images-eu.ssl-images-amazon.com/images/I/61h4w0FUgUL._AC_UL200_SR200,200_.jpg",NA,NA
Spy x Family - T5 (05),Tatsuya ENDO,Poche,"6,90 €","https://images-eu.ssl-images-amazon.com/images/I/71nblClfu3S._AC_UL200_SR200,200_.jpg","4,9 étoiles sur 5",57
"Moi, quand je me réincarne en Slime - tome 16 (16)",FUSE,Broché,"7,65 €","https://images-eu.ssl-images-amazon.com/images/I/71cfOA15kmS._AC_UL200_SR200,200_.jpg","4,7 étoiles sur 5",4
Dr. Stone - Tome 17,Riichirô Inagaki,Broché,"6,90 €","https://images-eu.ssl-images-amazon.com/images/I/816CFugp-aS._AC_UL200_SR200,200_.jpg","5,0 étoiles sur 5",11
LE LOUP QUI VOULAIT ALLER A L'ECOLE,Orianne LALLEMAND,Broché,"9,80 €","https://images-eu.ssl-images-amazon.com/images/I/71vCwzSbOaL._AC_UL200_SR200,200_.jpg","4,6 étoiles sur 5",43
Cendrillon,Joël Pommerat,Broché,"5,70 €","https://images-eu.ssl-images-amazon.com/images/I/41QDrAcBHLL._AC_UL200_SR200,200_.jpg","3,3 étoiles sur 5",3
Fullmetal Alchemist Perfect T08 (8),Hiromu ARAKAWA,Broché,"11,90 €","https://images-eu.ssl-images-amazon.com/images/I/71bQ1JFGPGS._AC_UL200_SR200,200_.jpg","5,0 étoiles sur 5",1
Solo Leveling T04,Chugong,Broché,"14,95 €","https://images-eu.ssl-images-amazon.com/images/I/71s09vInzBL._AC_UL200_SR200,200_.jpg",NA,NA
Autodafés,Michel ONFRAY,Broché,"19,00 €","https://images-eu.ssl-images-amazon.com/images/I/71ix7x-VNeL._AC_UL200_SR200,200_.jpg","4,3 étoiles sur 5",29
Les Carnets de l'apothicaire T05 (5),Natsu Hyuuga,Broché,"7,90 €","https://images-eu.ssl-images-amazon.com/images/I/71U3rqEOaJL._AC_UL200_SR200,200_.jpg","4,8 étoiles sur 5",6
On fait quoi pour le dîner au robot-cuiseur Mémoniak 2021-2022,Marine Rolland du blog Mimicuisine,Broché,"13,99 €","https://images-eu.ssl-images-amazon.com/images/I/81c0Hy6VaKL._AC_UL200_SR200,200_.jpg","4,3 étoiles sur 5",3
Un étrange renoncement,Denis Olivennes,Broché,"19,00 €","https://images-eu.ssl-images-amazon.com/images/I/71IcWoLY2dS._AC_UL200_SR200,200_.jpg",NA,NA
Agatha Raisin 28 - Chasse aux sorcières,M. C. Beaton,Broché,"14,00 €","https://images-eu.ssl-images-amazon.com/images/I/81htU42PgtS._AC_UL200_SR200,200_.jpg","4,2 étoiles sur 5",88
Lady S - Tome 15 - Dans la gueule du Tigre,Aymond Philippe,Broché,"12,50 €","https://images-eu.ssl-images-amazon.com/images/I/91mJ7ZGifuL._AC_UL200_SR200,200_.jpg","3,6 étoiles sur 5",4
Boruto - Naruto next generations - - Tome 12,Masashi Kishimoto,Broché,"6,85 €","https://images-eu.ssl-images-amazon.com/images/I/81n6pg-ShvL._AC_UL200_SR200,200_.jpg","4,4 étoiles sur 5",16
"L'organisateur de l'infirmière libérale et de l'infirmier libéral 2022: L'agenda idéal pour bien organiser son année, imaginé par Charline et illustré par Sophie Lambda (2021)",Charline,Broché,"27,90 €","https://images-eu.ssl-images-amazon.com/images/I/71GCsf5ydBL._AC_UL200_SR200,200_.jpg","4,1 étoiles sur 5",13
Agatha Raisin 29 - Sonnent les cloches !,M. C. Beaton,Broché,"14,00 €","https://images-eu.ssl-images-amazon.com/images/I/81SlTqnCDeS._AC_UL200_SR200,200_.jpg","4,2 étoiles sur 5",73
Tokyo Revengers - Tome 14,Ken Wakui,Broché,"6,90 €","https://images-eu.ssl-images-amazon.com/images/I/81W5FMf4WtS._AC_UL200_SR200,200_.jpg","4,7 étoiles sur 5",13
Mon mari,Maud Ventura,Broché,"19,00 €","https://images-eu.ssl-images-amazon.com/images/I/61w3UODU4FS._AC_UL200_SR200,200_.jpg","4,0 étoiles sur 5",37
